categoria;item;valor;unidade;procedencia;fonte;url;consultado_em;observacao
Passagem aérea;Rio Branco (RBR) -> Recife (REC), ida e volta;2488;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Rio-Branco-RBR/Recife-REC;2026-09-15;"faixa típica 1919-2744; menor achado 1475"
Passagem aérea;Macapá (MCP) -> Recife (REC), ida e volta;1763;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Macapa-MCP/Recife-REC;2026-09-15;"faixa típica 1171-2233; menor achado 1207"
Passagem aérea;Manaus (MAO) -> Recife (REC), ida e volta;1577;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Manaus-MAO/Recife-REC;2026-09-15;"faixa típica 1313-2014; menor achado 1147"
Passagem aérea;Belém (BEL) -> Recife (REC), ida e volta;1131;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Belem-BEL/Recife-REC;2026-09-15;"faixa típica 871-1410; menor achado 789"
Passagem aérea;Porto Velho (PVH) -> Recife (REC), ida e volta;2428;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Porto-Velho-PVH/Recife-REC;2026-09-15;"faixa típica 2030-2953; menor achado 1578"
Passagem aérea;Boa Vista (BVB) -> Recife (REC), ida e volta;2289;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Boa-Vista-BVB/Recife-REC;2026-09-15;"faixa típica 1969-2783; menor achado 1836"
Passagem aérea;Palmas (PMW) -> Recife (REC), ida e volta;1449;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Palmas-PMW/Recife-REC;2026-09-15;"faixa típica 1175-1748; menor achado 998"
Passagem aérea;Maceió (MCZ) -> Recife (REC), ida e volta;654;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Maceio-MCZ/Recife-REC;2026-09-15;"faixa típica 509-898; menor achado 388"
Passagem aérea;Salvador (SSA) -> Recife (REC), ida e volta;685;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Salvador-SSA/Recife-REC;2026-09-15;"faixa típica 543-910; menor achado 440"
Passagem aérea;Fortaleza (FOR) -> Recife (REC), ida e volta;843;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Fortaleza-FOR/Recife-REC;2026-09-15;"faixa típica 672-1107; menor achado 464"
Passagem aérea;São Luís (SLZ) -> Recife (REC), ida e volta;1011;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Sao-Luis-SLZ/Recife-REC;2026-09-15;"faixa típica 805-1287; menor achado 835"
Passagem aérea;João Pessoa (JPA) -> Recife (REC), ida e volta;1162;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Joao-Pessoa-JPA/Recife-REC;2026-09-15;"faixa típica 738-1582; menor achado 824"
Passagem aérea;Teresina (THE) -> Recife (REC), ida e volta;917;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Teresina-THE/Recife-REC;2026-09-15;"faixa típica 683-1312; menor achado 797"
Passagem aérea;Natal (NAT) -> Recife (REC), ida e volta;656;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Natal-NAT/Recife-REC;2026-09-15;"faixa típica 435-895; menor achado 455"
Passagem aérea;Aracaju (AJU) -> Recife (REC), ida e volta;996;BRL ida e volta;dado real;Kayak (12 meses);https://www.kayak.com.br/flight-routes/Aracaju-AJU/Recife-REC;2026-09-15;"faixa típica 836-1333; menor achado 594"
